wallet,score,total_coins,win_rate,net_sol,roi
EY9UZTYGBXUxda5WeFHt8yqXm29fbKFjCBfrW5iJxUxB,67.7,345,0.797,315.2,0.51
DGidLoNkmkHHSSNi8nS4fF6FvUrhRaNkpGyNQ5qcvE83,67.7,388,0.62,39.9,0.85
7N9r5BXviEdcDh8nxrtjgQAFeqMNBjc5HTCug86BnjXx,67.3,71,0.764,6.4,0.9
Fbbicpv9XmAzEWBGfmydWALxtHmsG9DGyC5pftNar6pm,66.9,48,0.749,105.6,1.08
2MyobcyPPzKLVPgY1nQusXzhX1YJWpVoUeuTxgmbXXGS,66.7,31,0.825,72.7,1.05
MqSiN8NwVu9wZgTe92gHzRmfD75GNFvB77QYJbmeHJt,66.7,58,0.841,71.2,0.82
5hasxiDH4gsskKqqGgHzTv6gDkUTq4ieZa2PfbivuK8B,66.6,73,0.815,140.2,0.76
yaggggt9qZDv5ZenAZVG2DMJhJ5EGssXyXXH8jYuQ7B,66.6,74,0.709,112.6,0.96
5JJXNntSS2Y8mP8kYZaY9MRkA95xC35QhhL44uaGjFiC,66.6,33,0.683,64.9,1.3
En3NPq8o9Cynf1Q3eP69AqZmPKmBaDugYnE832o2YuzP,66.5,102,0.709,309.3,0.75
9qgCzhzGSbrjcCgyRbhVENgJu1GSjCTEndcnhjN9sjDJ,66.5,256,0.623,94.2,0.79
8DgVVtnNZQRKu4Cx6xeAMTukUHMTE3f2Cqb1wMzJ9beU,66.4,117,0.817,198.4,0.43
2QDjVhgWAQMYfKk5oyr5uxLG2HadKfGxKkcB1Nn114i3,66.4,61,0.67,99.5,1.12
5BFuw7KyK5ryyvBwv4uJYwwNMnXPqGJGcf6okqtnhmFJ,66.4,120,0.783,2.8,0.48
HotwanNS4MKqzr82mNBthdosseVGSh7kJFHxVP6soVB,66.3,145,0.751,67.9,0.54
6gHWm4xAywaK9faNdH3v71SMTaXZkGXbPWA4T3TNy6yc,66.2,63,0.69,202.5,1.06
2wwEV58i3DUDWGQfet1DKfYNRKF2pYtWxz1ErU2cs6zG,66.2,709,0.694,108.2,0.64
HYM9Ew3WRS36veY4VSxTQgeSgcAmj9JNqcP5rZhB217c,66.1,97,0.707,4.3,0.78
DQApNebkK5wCmy92T5c4Z9NePWjP7dC4avpLMzuxadxR,65.9,772,0.782,259.2,0.46
5xNP5mgLAUWWnmZNBjhgKLveyf2gsdS3pMd7ipKJfqE,65.7,110,0.824,5.9,0.44
CpBR5MNFuQpdB7bYkjBW9eNoxM2RYrFU5ZBcEQyqrRpM,65.6,146,0.841,82.5,0.33
ANQAWcduKeTYn3fVki7hdkTDRUWgB5DTLyissf6AU6Ty,65.6,111,0.878,14.5,0.32
D4yrdUWHTf2wUWr7TZc3gZdMLsZ77y6RfHN4U28etf1j,65.4,210,0.657,378.8,0.68
62mLq4LSJfHWdUZU9KWSJBSF8ySFheQ8sQ7q4XeNHCbq,65.4,51,0.646,56.2,1.19
BAutw7mJLs11Ap7sBABCMaEtd8892SSHKsg7ym3V6ZMX,65.4,107,0.765,2.1,0.56
3Xk2EuuSwKgniGNA4XkB33YY4mnEvcMnTLNpkKgGa14X,65.3,500,0.768,157.5,0.46
2mqrindMAjJEQPLhroYWyiYPo5h9iAsahfdd4QtsjwdY,65.2,201,0.827,238.8,0.34
GUY2nGtfg9gdbZa2b7sGNBPM13uJUdq5PeEyUtJVwVgP,65.0,109,0.655,33.4,0.74
44cVMCPPywt9xVSNzBKghvNGW4kazYVgoU1YfBoSuuvR,65.0,67,0.716,7.3,0.93
6kgKhKa4mohKkUx11FDhtBHxjrTaVEDFMb7eEHPFdF7,64.9,89,0.691,151.3,0.81
EDozia8CitSkQCnpXu3ekLJCoiLvPUWWLgiRTKiES2j2,64.9,70,0.617,10.3,1.09
4nF3pE8L5ASewWFDrswMxZWNYTmwkBLXeghqVSNRgx2j,64.8,75,0.76,49.2,0.78
CVwjmDXhGfejBvrYstTkwqeyuJX8JUWXfBjstjJgUta5,64.7,163,0.749,37.2,0.47
57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,64.4,635,0.876,461.2,0.21
22byfxorYKFAnteD7nphLtNWT892EvRdvxJ2EUMgoehn,64.4,26,0.685,84.1,1.25
423yJvYSHZqU91M9djStwGsFupARLsAxd1zstoEHELPu,64.4,321,0.637,38.5,0.67
G7h5tnxJnwAh2J5vkzxXXZo11exDGUhDffpSTYxDSHHq,64.4,67,0.694,10.6,0.94
2Y4Q4sEPezD2aQ1f5j278Jj7QbCg7mnKZmAdXTVADz5s,64.3,51,0.798,178.8,0.85
7cbJvnJTadhaRtdGbTKy24PRrzqvAZYQX4Dw3RtmBnLn,64.3,48,0.646,124.2,1.17
6buU6eWqdeCUnpfA4x5eMXDgK9MJwBwxnRvSk8setToz,64.3,64,0.628,108.3,1.09
AiNfNi2ePcQMVE2jrkbTRvFTXYGi8C2VVneJYNZNaTyb,64.3,421,0.649,101.5,0.65
643pUYe9Y5mzuYNUVyhrcYSAusQziEnzUi8VteE7qTwY,64.2,257,0.715,106.1,0.52
G8ASzNwgU93vUxzNEpwkG38dT3zLXXep7JYTbmkKSF4R,64.2,159,0.742,36.7,0.47
D1P9dPB1VLnPBMXe52hpJXgScaKjexZ3jx3KctwqHfAS,64.2,146,0.813,0.0,0.33
Fyr3eVTySpfyczEzUFcJ3SPtEKRwWKhxsmAWLghwP3FL,64.1,164,0.644,277.3,0.65
2T5NgDDidkvhJQg8AHDi74uCFwgp25pYFMRZXBaCUNBH,64.1,46,0.828,60.3,0.82
CAvvAFNRfXDWTTDqwgxb9qSyYT8fTuTXWSFwL7Jsz8vT,64.1,400,0.723,21.8,0.49
Ajktg5ChFD827z1jVK3Yip8C3MNGB9QwR3wFaaUaHqMi,64.0,102,0.676,213.4,0.71
8U2DvxLvpUDN1snRebaJY2QxQTF4Hzj4RbXCAqV6gL8K,64.0,677,0.64,89.9,0.65
2JKBZ9ftfdL3hzbk3srAvCKDMKjEUXv9JFL8arwHYDoy,64.0,177,0.859,3.7,0.23
2HwtuCYmJ9wSEsfqFVujdnkvy9C8U2tqVm2ajmGrpgV4,63.9,46,0.725,137.0,1.01
BFiNXGyCMcFJQRPW5qnp6hzDfWie3Cdai3wuo9UXPq8r,63.9,32,0.714,81.1,1.13
moneyjZv8EzjQ8viRj1FapXgVQc4vXxofi2tQmezgdb,63.9,189,0.814,10.3,0.31
5TvARq2eDkbspJRasST57EC3QyyUTA3tU8bPBTCx2DyP,63.8,33,0.811,178.2,0.94
4EXTG3CCsmBSTCNVKLhuiL75ttFEoL2g7HFNDwd3zjyt,63.8,167,0.799,86.1,0.34
7Ymz8ccMNNeZdbdJzB1gtMPPVHNk7N7X6UNiJgGvzRb2,63.8,86,0.944,30.2,0.3
EKA4XDZ6GPNgrme1XJzTXsfeTs2134MMHfL5BCn28JVk,63.7,56,0.718,143.6,0.95
4AEZANPtAVdESQY7ntztL1BSkKzocvoP2QsmMz34zd5m,63.7,167,0.794,88.2,0.34
9wLN6VkQjhTsGUWGyY3JxqfyEPQAj1yXYXT37oaCzyCx,63.7,259,0.625,78.2,0.67
GiZBjittr5ugxFE9b7psismTtGEYgjHqHwuGiMX58n5n,63.7,133,0.736,32.8,0.46
F64QJNbwbAZLAbvzNYkxjHirfTWQDqj3Vz1FrBEDL5Q8,63.5,193,0.697,91.7,0.52
3E6Eq28ZzG2gE1wna6BoDFaPVgbY8edJqQNF5mqcZv2c,63.5,125,0.783,34.3,0.36
6qudAN2kV8mtCcYJxb5QQ6Vr15itdHHdeVbYm99NKMhy,63.4,114,0.846,186.2,0.27
H6hPTUg73GDscH4Q9NAviJrUtMwUXE6PzZat2xWDszrJ,63.4,132,0.702,101.3,0.5
CAwkpFhxxkw8vYNNhBt7HyPVsndHtjaRyys73KVr14J9,63.4,125,0.776,34.8,0.36
FK5z4HVnGCLbMNATcAVm81551Ng6NZU6uRFezzMKdF3k,63.3,139,0.66,200.2,0.58
Dq3Vr8v9uyBJmq3fhLhLEYKnenHAHBBg3AUJzbC5WsaL,63.3,256,0.713,96.5,0.48
A8HoBuqtC95LrfNiCLMYMhgxr3oXQz3J9kbp7rudub3X,63.3,79,0.855,87.2,0.5
DZfQgRFqU6msk7TJxFgwSAbeWfa62Qk4EniW9FRvYh3x,63.3,115,0.666,17.9,0.61
ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,63.2,416,0.744,570.8,0.42
6GTY24Q4ZBBAZM9eCR3fK87mn9R1219Y8MZ5Xaz7xPXj,63.2,46,0.759,66.5,0.91
5iBeTSRgoGW479RgrMmJfSvQGyji37eDfiYwzLoBkeHo,63.1,140,0.78,38.2,0.35
